Date,Open,High,Low,Close,Adj Close,Volume
2021/12/22,288.910004,295.549988,284.48999,294,293.645081,39518400
2021/12/23,297.549988,300.589996,294.309998,296.399994,296.042145,34302200
2021/12/27,296.600006,310.869995,296.399994,309.450012,309.076447,40368600
2021/12/28,313.119995,313.299988,300.119995,303.220001,302.853912,42059100
2021/12/29,302.730011,305.480011,293.660004,300.01001,299.647827,34313900
2021/12/30,298.269989,304.570007,295.399994,295.859985,295.502777,30886400
2021/12/31,296.73999,300.299988,293.309998,294.109985,293.754944,26653000
2022/1/3,298.149994,307.109985,297.850006,301.209991,300.846375,39154700
2022/1/4,302.769989,304.679993,283.48999,292.899994,292.546417,52715400
2022/1/5,289.48999,294.160004,275.329987,276.040009,275.706787,49806400
2022/1/6,276.399994,284.380005,270.649994,281.779999,281.43985,45418600
2022/1/7,281.410004,284.220001,270.570007,272.470001,272.141022,40993900
2022/1/10,265.809998,274.690002,256.440002,274,273.66922,59468100
2022/1/11,273.230011,280.649994,268.390015,278.170013,277.834229,40408900
2022/1/12,280.670013,285.950012,276.079987,279.98999,279.651947,38341300
2022/1/13,283.790009,284.799988,264.980011,265.75,265.429199,54017100
2022/1/14,263,271.970001,262.100006,269.420013,269.094757,39583200
2022/1/18,262.600006,266.380005,257.700012,259.029999,258.717285,42427000
2022/1/19,260.790009,265.429993,250.520004,250.669998,250.367371,48831500
2022/1/20,253.039993,255.789993,240.779999,241.5,241.208435,43518100
2022/1/21,235.070007,248.229996,232.630005,233.740005,233.45784,71895800
2022/1/24,223.300003,233.800003,208.880005,233.720001,233.437836,91398200
2022/1/25,225.460007,229.429993,220,223.240005,222.970505,66461600
2022/1/26,232.399994,240.570007,223,227.720001,227.445084,75595900
2022/1/27,235.679993,239.949997,216.75,219.440002,219.17511,57335300
2022/1/28,220.119995,228.580002,212.960007,228.399994,228.124283,54377400
2022/1/31,231.820007,245.089996,230.520004,244.860001,244.564407,56468000
2022/2/1,251.039993,251.449997,238.899994,246.380005,246.082581,51892500
2022/2/2,257.940002,258.170013,245.529999,252.419998,252.115265,54341900
2022/2/3,244.580002,250.770004,237.800003,239.479996,239.190887,41017800
2022/2/4,239.720001,246.350006,236.320007,243.190002,242.896439,35482900
2022/2/7,243.720001,251.820007,242.020004,247.279999,246.981476,37686800
2022/2/8,243.589996,252.300003,239.800003,251.080002,250.776871,41035900
2022/2/9,256.220001,267.25,253.529999,267.049988,266.7276,52428200
2022/2/10,259.950012,269.25,256,258.23999,257.928223,51320000
2022/2/11,259.160004,261.519989,237.729996,239.490005,239.200897,60547200
2022/2/14,239.339996,248.75,237.550003,242.669998,242.377029,44042400
2022/2/15,249.490005,265.450012,247.839996,264.950012,264.630157,69986900
2022/2/16,262.589996,265.820007,255.520004,265.109985,264.789917,73267600
2022/2/17,256.299988,257.850006,241.649994,245.070007,244.774155,81059500
2022/2/18,246.679993,249.860001,231,236.419998,236.134583,76125500
2022/2/22,230.350006,240.639999,230,233.899994,233.617599,63342200
2022/2/23,238.020004,241.550003,223.009995,223.869995,223.599747,56651100
2022/2/24,210.149994,238,208.899994,237.479996,237.193298,73580100
2022/2/25,237.210007,242.169998,233.809998,241.570007,241.278381,52886600
2022/2/28,239.919998,246.649994,237.070007,243.850006,243.555634,47731900
2022/3/1,242.910004,243.770004,231.320007,234.770004,234.486572,41205600
2022/3/2,237.559998,244.089996,234.149994,242.199997,241.948822,38964200
2022/3/3,242.619995,243.259995,234.690002,237.139999,236.894058,36509500
2022/3/4,233.839996,236.800003,224.820007,229.360001,229.122147,43141500
2022/3/7,228.169998,230.330002,213.300003,213.520004,213.298569,45082100
2022/3/8,213.089996,223.729996,206.5,215.139999,214.916901,55746700
2022/3/9,223.869995,232.199997,222.470001,230.139999,229.901337,49274200
2022/3/10,225.309998,227.880005,218.820007,226.580002,226.345016,42806600
2022/3/11,230.220001,231.449997,220.460007,221,220.770813,36720900
2022/3/14,218.690002,222.619995,211.589996,213.300003,213.078796,38535400
2022/3/15,215.179993,230.380005,213.220001,229.729996,229.49176,49199600
2022/3/16,235,245.970001,231.720001,244.960007,244.705963,67142200
2022/3/17,241.199997,248.419998,239.059998,247.660004,247.403168,47194100
2022/3/18,247.990005,265.690002,246.240005,264.529999,264.255676,73071900
2022/3/21,265.070007,271.519989,259.670013,267.339996,267.062714,59172700
2022/3/22,267.269989,272.380005,260.720001,265.23999,264.964935,54700700
2022/3/23,261.26001,266.119995,255.75,256.339996,256.074188,50212000
2022/3/24,261.660004,283.200012,259.070007,281.5,281.208038,87737900
2022/3/25,278.859985,283.579987,272.709991,276.920013,276.632813,57901600
2022/3/28,277.559998,282.5,272.059998,282.190002,281.897369,42549400
2022/3/29,286.950012,289.459991,279.799988,286.559998,286.262787,48898400
2022/3/30,283.040009,284.959991,275.029999,276.899994,276.612793,46348700
2022/3/31,277.820007,282.480011,272.700012,272.859985,272.577026,52344000
2022/4/1,273.75,274.959991,262.670013,267.119995,266.842957,51723500
2022/4/4,267.279999,275.579987,266.130005,273.600006,273.316254,39712000
2022/4/5,272.540009,273.190002,258.200012,259.309998,259.041077,43661500
2022/4/6,249.339996,253,240.029999,244.070007,243.816879,70383300
2022/4/7,244.410004,247.220001,234.779999,242.080002,241.828949,55799200
2022/4/8,239.169998,239.229996,230.619995,231.190002,230.950241,52478100
2022/4/11,222.139999,223.199997,216.600006,219.169998,218.942703,57520700
2022/4/12,225.369995,227.25,212.820007,215.039993,214.817001,66225800
2022/4/13,217.279999,225,214.550003,222.029999,221.799728,51694300
2022/4/14,225.050003,227.770004,211.630005,212.580002,212.359543,56909700
2022/4/18,212,220.880005,210.789993,217.830002,217.604095,52570100
2022/4/19,217.199997,223.729996,213.139999,221.979996,221.749771,51278100
